videoId,tags
q_mMq1DdshQ,"['2018 countdown manila', 'best 2018 countdown around the world', 'best new year eve 2018', 'filipino new year countdown 2018', 'human stampede new year 2018', 'dubai fireworks 2018', 'best fireworks display 2018', 'best firework display in the philippines 2018', 'eastwood countdown 2018', 'the fort city countdown 2018', 'Philippine Arena Countdown 2018', 'new york countdown 2018', 'tokyo fireworks 2018', 'best newyear firework around the world', 'firecracker manila 2018', 'firecracker philippines 2018']"
F0QDkZNzWtc,"['two broskis', 'twobroskis', 'travel', 'travel vlog', 'wanderlust', 'adventure', 'exploration', 'music travel video', 'vlog', 'funny travel video', 'backpacking', 'living life', 'living', 'music video', 'adventure travel', 'drone', 'drone video']"
3qvJlfNcnKc,"['Kentucky', 'Ranger', 'Kentucky Ranger', 'Snack', 'crate', ""What's"", 'In', 'The', 'Crate', 'Funny', 'Family', 'Food', 'Sample', 'Taste', 'Test', 'Review', 'Unbox', 'Munch', 'Munchie', 'Munchy', 'Munchies', 'kids', 'flavor', 'World', 'Foodie', 'Friendly', 'Fun', 'Christian', 'Laugh', 'cuisine', 'Critic', 'Eat', 'world', 'box', 'opening', 'review', 'video', 'unboxing', 'philippines', 'Mangoes', 'Ube', 'Cake', 'Polvoron', 'Coffee', 'Bawang', 'Chocolate', 'Pretzles', 'snackcrate', 'please', 'help']"
oXl7reHk0kM,
YQh96VjWa_w,"['the food ranger', 'burger machine review', 'burger manila', 'Erwan Heussaff', 'sonny side', 'best ever food review show', 'manila best burger', 'burger worth it', '$20 burger', '$1 burger', 'Manila food', 'foreigner filipino food', 'american filipino food', 'douche with red headband', 'burger machine', 'burger machine manila']"
7t7pYijY4Jg,"['the food ranger', 'cebu tuslob buwa', 'foreigner tries tuslob buwa', 'foreigner eats tuslob buwa', 'pasil', 'cebu city', 'philippines food', 'filipino food', 'filipino street food', 'pig brain', 'bnrain gravy', 'pig brain and puso', 'hanging rice', 'cebu hanging rice', 'hanging rice tuslob buwa', 'best ever food review show', 'sonny side']"
zd353fONHSc,"['the food ranger', 'chicken balut', 'foreigner eats balut', 'penoy', 'foreigner tries penoy', 'balut', 'balut in philippines', 'Shumai', 'filipino shumai', 'termpura', 'filipino tempura', 'tempura philippines', 'dirty icecream', 'philippines street food', 'filipino street food', 'philippines food', 'best street food philippines', 'foreigner', 'white guy', 'white eat balut', 'foreigner eats chicken balut', 'cebu city', 'colon street', 'street food tour']"
h_qsg8Gof4Q,"['intro to curries', 'indian cuisine', 'brothers green', 'vegetarian for parties', 'master vegetarian cooking', 'beginners vegetarian', 'coconut butternut sqaush', 'sagg recipe', 'eggplant tomato curry', 'the best vegetarian food', 'indian feast', 'easy vegetarian', 'beginners indian', 'how to cook indian food', 'mike greenfield', 'simple flatbreads', 'enzyme tire spunk', 'basic curry recipes', 'vegetarian recipes']"
pVRlLto0Wt4,"['taboo topics', 'asian talk host', 'facebook live', 'life by laila', 'miss world', 'miss singapore', 'brown skin beauty', 'beauty is only skin deep', 'strong women', 'Laanya Erza Asogan', 'Adeline Hokulani\u200b', 'lets talk', 'intelligent', 'women', 'empowerment', 'social media', 'social awareness', 'blog', 'vlog']"
hedlWTTw8q8,
rlUIgUa_QjE,"['Broken english', 'Filipino Vlogger', 'Englsih Language', 'daily vlog', 'basic english', 'Filipino broken english', 'language challenge', 'buzzfeed', 'Fun Facts', 'english 101', 'Filipino english', 'language 101', 'English 101', 'Filipino Bloggers', 'Filipino Vlogs', 'Abu Dhabi Vlogs', 'Dubai Vlogs', 'Filipino Blogger on Youtube', 'Abu Dhabi', 'UAE', 'Philippines', 'I am Shanwein', 'iamshanwein', 'Filipino Vlogger on youtube', 'Why Filipinos speaks broken English']"
FnX01Jjx2uM,"['trynewthings', 'unboxing', 'HiHoKids', 'kid videos', 'kids try videos', 'kids challenges', 'games', 'fun', 'kids try toys', 'family', 'HihoKids', 'Kids Try', 'Jayque', 'Maddoxweddle', 'challenges', 'Crystal', 'WatchCut', 'kidsguess', 'ernietries', 'ernie', 'Justin', 'kidsplay', 'kid games', 'kidsmakefriends', 'experiment', 'what’sinthebox', 'hiho', 'familyfriendly', 'kidstry', 'Cut', 'kidsdescribe', 'challenge videos', 'food', 'Maddox', 'GG', 'Austin', 'forkids', 'Hiho', 'Desmond', 'kids try', 'friends']"
drEhhb8_nRQ,"[""Top 5 New Year's Resolution every Filipino fails to achieve every year"", ""New Year's Resolutions"", 'Filipino Resolutions', 'Filipino Culture', ""Filipino New Year's Resolutions"", 'Chris Urbano', 'Maputing Cooking', 'How to Lose Weight', 'How to Save Money', 'How to Eat Healthy']"
t4IudGC7qQ0,"['traveln2', 'travel', 'vlog', 'travel vlog', 'travel vlogger', 'explore', 'lifestyle', 'lifestyle travel', 'lifestyle traveling', 'new years eve in puerto princesa', 'new years eve in philippines', 'party in the philippines', 'fireworks in philippines', 'carnaval in philippines', 'party philippines', 'fun philippines']"
u1SGGodgmIA,"['daniel marsh', 'filipino', 'philippines', 'filipino cuisine', 'wil dasovich', 'haley dasovich', 'mikey bustos', 'travel', 'explore', 'cook', 'sushi', 'raw fish', 'pinoy', 'tagay', 'foreigner in the philippines', 'life in the phili']"
MovIpxxyOlo,"['tamilok philippines', 'tamilok', 'catching takilok', 'palawan food', 'kinabuchs', 'bizarre philippines', 'filipino food', 'filipino street food', 'strange filipino food']"
m6HDf7Vr1dg,"['foreigners', 'hilarious reaction', 'tagalog', 'filipino food', 'exotic food', 'pinoy food', 'filipino exotic food']"
QO2kFGqnnwc,"['mukbang', 'eating show', 'eating', 'english mukbang', 'fast food reveiw', 'watch me eat', 'mashed potatoes', 'halo halo', 'jollibee', 'peach mango pies', 'jollibee mukbang', 'filipino food', 'chickenjoy', 'philippines', 'fried chicken', 'jollibee food review', 'jollibee spaghetti', 'gravy', 'hugknuckles', 'food review', 'reaction', 'couples react', 'culture', 'commercials', 'wish 1075', 'americans try filipino food', 'filipino fast food', 'reaction video', 'jollibee video', 'pie', 'jollibee commercial', 'americans', 'react', 'jollidance showdown', 'vow']"
wmX_mzz7RU8,"[""McDonald's Philippines"", ""McDonald's in the Philippines"", 'Philippines McDonalds', 'Filipino McDonalds', 'McDonalds around the world', 'trying mcdonalds around the world', 'Americans try Filipino Mcdonalds', 'filipino ordering mcdonalds', 'filipino mcdonalds mcdo', 'magat dam ramon isabela', 'isabela philippines tourist spots', 'cauayan city isabela philippines', 'Christian travel vlog philippines', 'tilapia fish farm philippines', 'McDonalds menu in Philippines', 'McDonalds Fried Chicken', 'McDo Spaghetti']"
hgV-OA8fivU,"['best restaurant in coron', 'coron island tour', 'ultimate tour coron', 'palawan island', 'top tourist destinations coron', 'night life in coron palawan', 'best places to visit in palawan 2018', 'filipino food', 'philippines street food', 'where to eat in palawan', 'best restaurants in palawan', 'best food in palawan', 'local filipino dishes palawan', 'el nido nightlife', 'foreigner trying filipino food', 'filipino food review']"
YlJYi6quv5Q,"['TRYING FILIPINO FOOD FOR THE FIRST TIME PT. V ( TRADITIONAL FILIPINO DISHES)', 'trying filipino food for the first time', 'american tries filipino food', 'trying traditional filipino dishes', 'american tries traditional filipino food', 'traditional filipino food', 'filipino food', 'trying filipino food', 'taste test', 'kare kare', 'filipino food taste test', 'arthur-o productions production', 'filipino dish', 'filipino menudo', 'tryng filipino lechon for the first time']"
XpQffKMsfPU,"['american eating filipino food', 'Filipino Food', 'Sparkinheart', 'philippines', 'pinoy food', 'first time', 'Lumpia', 'bitter melon', 'bitter melon challenge', 'Adobo', 'Sarap!', 'filipino', 'food challenge', 'jollibee', 'shawn hewitt', 'travel', 'jollibee taste test', 'pinoy', 'tagalog', 'taste test', 'taste test challenge', 'taste testing food', 'pinoy pood', 'funny', 'pinoy tv', 'food', 'filipino songs', 'filipino food near me', 'filipino food taste test', 'amerikano na pagkain ng filipino food']"
K410sNv5Iqo,"['foreigner filipino snack', 'junk food filipino', 'foreigner try pinoy snacks', 'filipino junk food', 'filipino snack mukbang', 'mukbang filipino junk food', 'foreigner eats filipino snack', 'foreigner first time filipino snacks', 'mukbang filipino food foreigner', 'first time filipino snacks foreigner', 'filipino snacks mukbang foreigner', 'foreigner eats filipino snacks', 'foreigner eats filipino food', 'foreigner filipino snack first time', 'foreigner filipino food first time', 'foreigner mukbang filipino']"
KLdGv2yBG48,"['jollibee', 'jollibe in america', 'jollibee food', 'chickenjoy']"
UC7VaWdK5W8,"['Cannon', 'Bamboo Cannon', 'Guns Philippines', 'Filipino New Year', 'Firecrackers Philippines', 'New Year Philippines', 'BecomingFilipino', 'Fire and Explosions', 'Explosives', 'Explosion Philippines', 'Bomb Philippines', 'Filipino Gun', 'Filipino Celebration', 'Filipino Tradition', 'New Years Traditions', 'Fire Philippines', 'Finn Snow', 'Big Gun', 'Big Bomb', 'Lantaka', 'Filipino Noise', 'Happy New Year Philippines', 'Foreigner Mindanao', 'Mindanao Gun', 'Bomb Mindanao', 'Explosions Mindanao']"
hSFILxx0lrY,"['food', 'family', 'philippines', 'filipino', 'filipino food', 'snacks', 'filipino snacks', 'pinoy', 'trying filipino snacks', 'eating filipino food', 'testing filipino food', 'filipino buzzfeed', 'growing up filipino', 'why i love being filipino', 'comedy', 'vlog', 'jacqui alvendia', 'pinoy food', 'pinoy food us', 'filam', 'best', 'delicious', 'delicious snacks', 'food vlog', 'what is', 'eat', 'best food', 'asian', 'what to eat', 'pinoy food in us', 'pinoy food in usa']"
dlUqsDS-vWo,"['sea cocoon hotel el nido 2018', 'best hotel in el nido nearby town', 'best luxury hotel in elnido', 'best restaurants in elnido town proper', 'nightlife in elnido', 'best place to eat and chill in elnido 2018', 'best filipino bakery in the philippines', 'filipino bread and pastries', 'el nido midtown bakery', 'el nido tours island hopping 2018', 'best accomodation in elnido', 'what to eat in elnido palawan', 'spanish bread pan de coco', 'pinoy favorite food']"
Drz7btQ0qdg,"['iMovie', 'norcal', 'san francisco', 'lombard street', 'erikvjvnee', 'ejvnee', 'hayward', 'california', 'spirit airlines', 'filipino', 'new years', 'vlog', 'lax', 'oakland', 'golden gate bridge', 'twin peaks']"
5NsEORdzNIg,"['food challenge', 'snacks challenge', 'foreigners tries jolllibee', 'foreigner filipino challenge', 'british tries filipino snacks', 'american tries filipino food', 'youtube food challenge', 'boy bawang', 'cheeze it', 'peewee', 'milky knots', 'chippy', 'cheezy snacks', 'flipino vs brirish food challenge', 'gay food challenge', 'filipino snacks challenge', 'filipino food challenge', 'gay vlog', 'manila airport', 'naia terminal', 'filipino challenge', 'taste test filipino food', 'filipino snacks', 'food challenges', 'mukbang']"
k_G5lWUfZhk,
